job_role,skills
software engineer,"Python, JavaScript, React, Django, Git, SQL"
data scientist,"Python, Pandas, Machine Learning, Deep Learning, Statistics"
project manager,"Agile, Scrum, JIRA, Risk Management, Budgeting"
web developer,"HTML, CSS, JavaScript, React, Node.js, Git"
data analyst,"Excel, SQL, Pandas, Tableau, Power BI"
UX/UI designer,"Figma, Sketch, Adobe XD, Wireframing, Prototyping"
mobile developer,"Swift, Java, Kotlin, Android, iOS, Flutter"
system administrator,"Linux, Windows, Networking, Cloud Computing, VMware"
database administrator,"SQL, Oracle, Database Management, Backup Recovery, PostgreSQL"
graphic designer,"Adobe Photoshop, Illustrator, InDesign, CorelDRAW, Typography"
marketing manager,"SEO, Google Analytics, Email Marketing, Content Marketing, Social Media"
sales manager,"Salesforce, CRM, Lead Generation, Negotiation, Team Leadership"
product manager,"Agile, Project Management, Product Roadmap, Market Research, Product Design"
business analyst,"Business Analysis, SQL, Excel, Power BI, Data Analysis"
security analyst,"Network Security, Firewall, Penetration Testing, Cryptography, Ethical Hacking"
software tester,"Automation Testing, Manual Testing, QA, Test Cases, Selenium"
cloud architect,"AWS, Azure, Google Cloud, DevOps, Cloud Security"
machine learning engineer,"Python, TensorFlow, PyTorch, Data Preprocessing, Deep Learning"
network engineer,"Networking, Router, Switching, Firewall, LAN, WAN"
IT support specialist,"Customer Service, Networking, Hardware Troubleshooting, Windows, Mac OS"
financial analyst,"Excel, Financial Modeling, Forecasting, SQL, Accounting"
HR manager,"Recruitment, Employee Relations, Payroll, HR Policies, Compliance"
content writer,"Content Creation, SEO, Copywriting, Editing, Content Management"
civil engineer,"CAD, Structural Design, Project Management, Construction, Surveying"
electrical engineer,"Electrical Systems, PLC, AutoCAD, Power Systems, SCADA"
mechanical engineer,"CAD, SolidWorks, AutoCAD, Manufacturing, Product Design"
lawyer,"Legal Research, Contract Law, Negotiation, Litigation, Compliance"
teacher,"Teaching, Lesson Planning, Classroom Management, Communication, Pedagogy"
nurse,"Patient Care, Healthcare, First Aid, Medical Terminology, Clinical Skills"
doctor,"Diagnosis, Patient Care, Healthcare, Medical Research, Clinical Skills"
architect,"AutoCAD, Revit, Building Codes, Construction, Design"
pharmacist,"Pharmaceuticals, Patient Counseling, Prescription Filling, Pharmacology, Health Care"
journalist,"Reporting, Editing, SEO, Storytelling, Research"
chef,"Culinary Arts, Food Preparation, Menu Planning, Food Safety, Kitchen Management"
videographer,"Video Editing, Filmmaking, Lighting, Audio Recording, Camera Operation"
photographer,"Photography, Editing, Photo Composition, Lighting, Adobe Photoshop"
fitness trainer,"Fitness Training, Exercise Physiology, Nutrition, Personal Training, Health Coaching"
event planner,"Event Management, Vendor Management, Budgeting, Marketing, Negotiation"
translator,"Translation, Language Proficiency, Editing, Proofreading, Localization"
recruiter,"Recruitment, Interviewing, Job Posting, Onboarding, HR Software"
editor,"Editing, Proofreading, Content Creation, Writing, Storytelling"
data engineer,"SQL, ETL, Data Warehousing, Hadoop, Spark"
operations manager,"Project Management, Process Improvement, Team Management, Leadership, Budgeting"
software architect,"Java, Python, C++, Design Patterns, Software Engineering"
UI developer,"HTML, CSS, JavaScript, React, Vue.js, UI/UX Design"
devops engineer,"CI/CD, Cloud Computing, AWS, Docker, Kubernetes"
full stack developer,"JavaScript, React, Node.js, SQL, HTML, CSS"
business development manager,"Sales, Negotiation, Market Research, CRM, Lead Generation"
account manager,"Client Relations, CRM, Sales, Communication, Customer Service"
customer service representative,"Communication, Problem-Solving, Product Knowledge, Customer Care, CRM"
social media manager,"Social Media, Content Creation, SEO, Google Analytics, Campaign Management"
copywriter,"Copywriting, SEO, Content Creation, Research, Marketing"
data visualization specialist,"Tableau, Power BI, Excel, Data Analysis, Dashboard Design"
game developer,"Unity, C#, Java, Game Design, 3D Modeling, Game Testing"
product designer,"Sketch, Prototyping, UI/UX Design, User Research, Wireframing"
research scientist,"Research, Lab Equipment, Data Analysis, Statistics, Scientific Writing"
supply chain manager,"Logistics, Supply Chain Optimization, Inventory Management, Vendor Relations, Operations Management"
operations analyst,"Data Analysis, Excel, SQL, Process Optimization, Reporting"
public relations manager,"Media Relations, Press Releases, Communication, Campaigns, Brand Management"
advertising manager,"Advertising, Marketing, Campaign Management, Media Buying, Digital Marketing"
QA engineer,"Automation Testing, Manual Testing, Agile, Test Automation, Selenium"
network architect,"Networking, Routing, Switching, Firewall, Cloud Computing"
IT consultant,"IT Strategy, Networking, Cloud Computing, Security, Tech Support"
market research analyst,"Market Research, Data Analysis, Surveys, Statistical Software, Consumer Behavior"
videographer,"Video Production, Lighting, Editing, Camera Operation, Filmmaking"
SEO specialist,"SEO, Google Analytics, Keyword Research, Content Optimization, Link Building"
cloud engineer,"AWS, Google Cloud, Azure, DevOps, Cloud Security"
financial planner,"Financial Planning, Investment Strategy, Portfolio Management, Tax Planning, Retirement Planning"
business consultant,"Strategy, Market Research, Data Analysis, Consulting, Management"
insurance agent,"Insurance Sales, Customer Service, Policy Management, Underwriting, Claims"
real estate agent,"Property Listings, Sales Negotiation, Customer Service, Marketing, Real Estate Law"
executive assistant,"Calendar Management, Microsoft Office, Communication, Organization, Travel Coordination"
product marketing manager,"Marketing Strategy, Branding, Digital Marketing, Content Creation, SEO"
brand manager,"Brand Strategy, Marketing, Content Development, Market Research, Advertising"
editorial assistant,"Editing, Proofreading, Research, Content Creation, Publishing"
digital marketing manager,"SEO, SEM, Social Media, Email Marketing, Content Marketing"
IT project manager,"Project Management, IT Management, Agile, Team Leadership, Software Development"
operations director,"Leadership, Strategy, Process Improvement, Team Management, Budgeting"
sales engineer,"Sales, Technical Knowledge, Product Demos, Customer Support, Negotiation"
accountant,"Accounting, Taxation, Financial Reporting, Excel, QuickBooks"
translator,"Language Proficiency, Translation, Editing, Proofreading, Localization"
teacher assistant,"Classroom Support, Lesson Preparation, Communication, Organization, Child Development"
